-0,68414;1,05987;0,95893;-1,66915;-0,3022;-2,69467;1,45654;-0,73885;0,73652;-2,95329;-1,03674;0,20416;-0,62714;0,38436;0,95893;2
1,10112;-2,07192;-0,42709;-2,48813;-0,25145;3,6851;-0,78137;0,56174;0,37283;-0,70384;-0,72373;-0,10029;0,57735;3,08151;-0,42709;2
-0,38048;1,39621;1,55409;-0,32091;-0,09728;-0,69049;0,73238;1,34251;0,03812;1,02391;-2,62982;-0,47031;-0,85447;-3,26313;1,55409;2
0,01323;0,47114;2,76768;-0,58313;-0,3397;1,96489;-1,15745;0,2554;1,44338;2,85872;-2,72728;3,13058;0,63702;-6,77324;2,76768;2
1,23339;-1,13923;-0,11393;-2,60394;0,96349;4,27702;-0,45044;0,20446;-0,09358;0,62371;-0,37058;-0,3968;1,55428;1,57283;-0,11393;2
-1,01058;-1,09578;1,05086;-1,27372;0,2221;2,25763;-0,51897;0,35116;0,70492;0,76245;-0,40921;1,30115;0,98307;-0,47873;1,05086;1
-0,13392;0,3696;1,98136;-0,2221;-1,22599;-1,8988;0,54167;0,35159;-2,08144;-0,65392;-1,8758;1,19766;-0,77484;-2,32883;1,98136;2
-2,6016;-2,24118;1,20868;-1,02135;-0,96833;2,44966;-0,502;-0,86753;-0,35586;-0,13596;-1,09692;0,77363;1,55226;0,12499;1,20868;1
0,16634;0,06214;-0,73042;-1,08875;-0,14624;3,1791;1,18579;0,30218;1,15265;0,50772;-0,4485;1,7294;1,47541;-2,11172;-0,73042;1
-0,5018;3,37932;-0,26197;-0,04993;0,84912;-5,57646;0,7094;0,42782;-0,00957;-2,19175;-0,49006;-0,25014;-3,61501;-0,20057;-0,26197;2
-1,36965;2,05161;-3,67437;-0,02024;-0,77359;3,47415;0,33919;0,14174;-1,41262;-0,74463;-2,15527;0,45904;1,73642;-4,81747;-3,67437;1
1,15801;-1,53991;0,85503;-0,88362;-0,83899;4,01523;-1,33092;-1,47611;0,42574;2,2622;-2,37657;0,97976;0,02777;-1,77144;0,85503;1
-1,16908;-1,52536;2,36407;0,33373;1,3898;-2,25365;0,80941;-0,74916;-1,44937;-1,3954;1,2549;0,15612;1,73875;1,30404;2,36407;1
